ID,Link,Date,Sport,Country,League
KvtogazP,https://www.betexplorer.com/soccer/sweden/division-2-norrland/storfors-aik-sund-if/KvtogazP/,"2022,9,25,12,00",soccer,sweden,division-2-norrland
bTNKq15A,https://www.betexplorer.com/soccer/vietnam/v-league-2/khanh-hoa-cong-an-nhan-dan/bTNKq15A/,"2022,9,25,12,00",soccer,vietnam,v-league-2
nPnF8Qd8,https://www.betexplorer.com/soccer/world/friendly-international/kyrgyzstan-russia/nPnF8Qd8/,"2022,9,25,12,00",soccer,world,friendly-international
r3CkJ6D4,https://www.betexplorer.com/soccer/italy/serie-c-group-c/monterosi-virtus-francavilla/r3CkJ6D4/,"2022,9,25,12,30",soccer,italy,serie-c-group-c
GpGjuQJL,https://www.betexplorer.com/soccer/italy/serie-a-women/sassuolo-juventus/GpGjuQJL/,"2022,9,25,12,30",soccer,italy,serie-a-women
rJAVbG8Q,https://www.betexplorer.com/soccer/poland/iii-liga-group-i/jagiellonia-gks-pogon-grodzisk-mazowiecki/rJAVbG8Q/,"2022,9,25,12,30",soccer,poland,iii-liga-group-i
z1ZcBbHh,https://www.betexplorer.com/soccer/poland/iii-liga-group-ii/vineta-wolin-unia-solec-kujawski/z1ZcBbHh/,"2022,9,25,12,30",soccer,poland,iii-liga-group-ii
Cj2eVRMF,https://www.betexplorer.com/soccer/czech-republic/1-liga-women/liberec-ostrava/Cj2eVRMF/,"2022,9,25,13,00",soccer,czech-republic,1-liga-women
j19VEDyJ,https://www.betexplorer.com/soccer/denmark/2nd-division/skive-bk-frem/j19VEDyJ/,"2022,9,25,13,00",soccer,denmark,2nd-division
pnauIb5P,https://www.betexplorer.com/soccer/denmark/3rd-division/dalum-if-vsk-aarhus/pnauIb5P/,"2022,9,25,13,00",soccer,denmark,3rd-division
p23aaBkN,https://www.betexplorer.com/soccer/denmark/elitedivisionen-women/koldingq-fortuna-hjorring/p23aaBkN/,"2022,9,25,13,00",soccer,denmark,elitedivisionen-women
nw2zleS1,https://www.betexplorer.com/soccer/finland/ykkonen/tps-jaro/nw2zleS1/,"2022,9,25,13,00",soccer,finland,ykkonen
zDNpTml3,https://www.betexplorer.com/soccer/finland/kakkonen-group-b/salpa-hjs/zDNpTml3/,"2022,9,25,13,00",soccer,finland,kakkonen-group-b
YaPB7ku9,https://www.betexplorer.com/soccer/finland/kakkonen-group-c/jbk-gbk-kokkola/YaPB7ku9/,"2022,9,25,13,00",soccer,finland,kakkonen-group-c
2eiexwsi,https://www.betexplorer.com/soccer/finland/kansallinen-liiga-women/kups-pk-35-helsinki/2eiexwsi/,"2022,9,25,13,00",soccer,finland,kansallinen-liiga-women
xnqe1zGF,https://www.betexplorer.com/soccer/germany/oberliga-hamburg/dassendorf-tus-osdorf/xnqe1zGF/,"2022,9,25,13,00",soccer,germany,oberliga-hamburg
SzEQrpJO,https://www.betexplorer.com/soccer/germany/oberliga-bremen/blumenthaler-hemelingen/SzEQrpJO/,"2022,9,25,13,00",soccer,germany,oberliga-bremen
EX9MqQ3I,https://www.betexplorer.com/soccer/germany/oberliga-bremen/werder-bremen-bts-neustadt/EX9MqQ3I/,"2022,9,25,13,00",soccer,germany,oberliga-bremen
GEPneTmt,https://www.betexplorer.com/soccer/germany/oberliga-bayern-nord/1-sc-feucht-grossbardorf/GEPneTmt/,"2022,9,25,13,00",soccer,germany,oberliga-bayern-nord
fiPr2h0U,https://www.betexplorer.com/soccer/norway/division-2-group-1/egersund-orn/fiPr2h0U/,"2022,9,25,13,00",soccer,norway,division-2-group-1
lfr6JgV4,https://www.betexplorer.com/soccer/norway/division-2-group-1/v-haugesund-flekkeroy/lfr6JgV4/,"2022,9,25,13,00",soccer,norway,division-2-group-1
dx7us197,https://www.betexplorer.com/soccer/norway/division-3-group-1/oppsal-froya/dx7us197/,"2022,9,25,13,00",soccer,norway,division-3-group-1
hpCKsHhk,https://www.betexplorer.com/soccer/norway/division-3-group-2/molde-forde/hpCKsHhk/,"2022,9,25,13,00",soccer,norway,division-3-group-2
z9HFrcwq,https://www.betexplorer.com/soccer/norway/division-3-group-2/volda-raufoss/z9HFrcwq/,"2022,9,25,13,00",soccer,norway,division-3-group-2
SE6Sx3hN,https://www.betexplorer.com/soccer/norway/division-3-group-5/rana-fk-orkla/SE6Sx3hN/,"2022,9,25,13,00",soccer,norway,division-3-group-5
OOfdyB36,https://www.betexplorer.com/soccer/poland/division-2/zaglebie-polonia-warszawa/OOfdyB36/,"2022,9,25,13,00",soccer,poland,division-2
xMZVwFW0,https://www.betexplorer.com/soccer/poland/iii-liga-group-i/olimpia-zambrow-bron-radom/xMZVwFW0/,"2022,9,25,13,00",soccer,poland,iii-liga-group-i
KlyA8d1B,https://www.betexplorer.com/soccer/poland/iii-liga-group-ii/unia-swarzedz-gedania-gdansk/KlyA8d1B/,"2022,9,25,13,00",soccer,poland,iii-liga-group-ii
GraulTUl,https://www.betexplorer.com/soccer/poland/iii-liga-group-iii/goczalkowice-zdroj-gwarek-tarnowskie-gory/GraulTUl/,"2022,9,25,13,00",soccer,poland,iii-liga-group-iii
WbsQZU32,https://www.betexplorer.com/soccer/spain/tercera-rfef-group-12/panaderia-cd-santa-ursula/WbsQZU32/,"2022,9,25,13,00",soccer,spain,tercera-rfef-group-12
r9J1hUIP,https://www.betexplorer.com/soccer/sweden/division-1-norra/sylvia-hammarby-tff/r9J1hUIP/,"2022,9,25,13,00",soccer,sweden,division-1-norra
ELahYZJP,https://www.betexplorer.com/soccer/sweden/division-1-sodra/torn-tvaaker/ELahYZJP/,"2022,9,25,13,00",soccer,sweden,division-1-sodra
d0NQTcxj,https://www.betexplorer.com/soccer/sweden/division-2-norrland/ifk-lulea-ifk-ostersund/d0NQTcxj/,"2022,9,25,13,00",soccer,sweden,division-2-norrland
2cEGjLq3,https://www.betexplorer.com/soccer/sweden/division-2-norrland/umea-fc-akademi-kiruna/2cEGjLq3/,"2022,9,25,13,00",soccer,sweden,division-2-norrland
AuBxBBEg,https://www.betexplorer.com/soccer/sweden/division-2-vastra-gotaland/landvetter-hoganas/AuBxBBEg/,"2022,9,25,13,00",soccer,sweden,division-2-vastra-gotaland
ddFsfS4C,https://www.betexplorer.com/soccer/sweden/division-2-sodra-gotaland/balkan-ifk-hassleholm/ddFsfS4C/,"2022,9,25,13,00",soccer,sweden,division-2-sodra-gotaland
nyZDcFnJ,https://www.betexplorer.com/soccer/taiwan/mulan-football-league-women/taipei-bravo-hualien/nyZDcFnJ/,"2022,9,25,13,00",soccer,taiwan,mulan-football-league-women
jwBsytA9,https://www.betexplorer.com/soccer/ukraine/persha-liga/hirnyk-sport-obolon/jwBsytA9/,"2022,9,25,13,00",soccer,ukraine,persha-liga
