ID,Link,Date,Sport,Country,League
SAOQxA3s,https://www.betexplorer.com/soccer/ecuador/liga-pro/tecnico-u-u-catolica/SAOQxA3s/,"2022,9,13,2,00",soccer,ecuador,liga-pro
UTgKm9br,https://www.betexplorer.com/soccer/mexico/liga-mx-women/santos-laguna-club-tijuana/UTgKm9br/,"2022,9,13,2,00",soccer,mexico,liga-mx-women
GMeTiXKl,https://www.betexplorer.com/soccer/argentina/primera-nacional/san-martin-t-ca-belgrano-de-cordoba/GMeTiXKl/,"2022,9,13,2,10",soccer,argentina,primera-nacional
pI1J8qNh,https://www.betexplorer.com/soccer/bolivia/division-profesional/nacional-potosi-always-ready/pI1J8qNh/,"2022,9,13,2,15",soccer,bolivia,division-profesional
KMnfESM5,https://www.betexplorer.com/soccer/colombia/primera-a/aguilas-doradas-petrolera/KMnfESM5/,"2022,9,13,3,00",soccer,colombia,primera-a
Yk4TUxCi,https://www.betexplorer.com/soccer/colombia/primera-b/chico-bogota/Yk4TUxCi/,"2022,9,13,3,00",soccer,colombia,primera-b
rXcOnTDl,https://www.betexplorer.com/soccer/mexico/liga-mx-women/mazatlan-fc-toluca/rXcOnTDl/,"2022,9,13,4,00",soccer,mexico,liga-mx-women
QemTomTf,https://www.betexplorer.com/soccer/mexico/liga-mx-women/monterrey-atlas/QemTomTf/,"2022,9,13,4,00",soccer,mexico,liga-mx-women
dbAGLmHe,https://www.betexplorer.com/soccer/south-korea/k-league-1/suwon-fc-gimcheon-sangmu/dbAGLmHe/,"2022,9,13,12,00",soccer,south-korea,k-league-1
hvVfmkQ0,https://www.betexplorer.com/soccer/south-korea/k-league-2/gyeongnam-gimpo-fc/hvVfmkQ0/,"2022,9,13,12,00",soccer,south-korea,k-league-2
A1EKK7W1,https://www.betexplorer.com/soccer/south-korea/k-league-1/jeju-utd-daegu/A1EKK7W1/,"2022,9,13,12,30",soccer,south-korea,k-league-1
O422qi92,https://www.betexplorer.com/soccer/south-korea/k-league-1/seoul-gangwon/O422qi92/,"2022,9,13,12,30",soccer,south-korea,k-league-1
z3Kan9u7,https://www.betexplorer.com/soccer/south-korea/k-league-2/busan-daejeon/z3Kan9u7/,"2022,9,13,12,30",soccer,south-korea,k-league-2
b7UGXcRi,https://www.betexplorer.com/soccer/china/super-league/guangzhou-city-guangzhou-fc/b7UGXcRi/,"2022,9,13,13,30",soccer,china,super-league
bD39o5hJ,https://www.betexplorer.com/soccer/russia/russian-cup/fc-nizhny-novgorod-khimki/bD39o5hJ/,"2022,9,13,14,00",soccer,russia,russian-cup
Iu7BoGE1,https://www.betexplorer.com/soccer/romania/romanian-cup/avantul-periam-csc-dumbravita/Iu7BoGE1/,"2022,9,13,15,30",soccer,romania,romanian-cup
roZG28kg,https://www.betexplorer.com/soccer/romania/romanian-cup/csm-alexandria-progresul-spartac/roZG28kg/,"2022,9,13,15,30",soccer,romania,romanian-cup
4zCVjBjs,https://www.betexplorer.com/soccer/romania/romanian-cup/ghiroda-giarmata-vii-ripensia-timisoara/4zCVjBjs/,"2022,9,13,15,30",soccer,romania,romanian-cup
GbFKe0x9,https://www.betexplorer.com/soccer/romania/romanian-cup/jiul-petrosani-csm-deva/GbFKe0x9/,"2022,9,13,15,30",soccer,romania,romanian-cup
