ID,Result,Partial results
AViyNce5,"[0, 0]","[[0, 0], [0, 0]]"
hfstMHAB,"[0, 1]","[[0, 0], [0, 1]]"
6copLyQH,"[1, 2]","[[1, 2], [0, 0]]"
0KplKeuO,"[0, 1]","[[0, 1], [0, 0]]"
GdOhnIuo,"[3, 2]","[[1, 1], [2, 1]]"
I12yB1Io,"[2, 1]","[[1, 1], [1, 0]]"
dh1uALXi,"[1, 0]","[[0, 0], [1, 0]]"
0OvTFQaL,"[4, 1]","[[3, 0], [1, 1]]"
S4Htfqw2,"[3, 0]","[[0, 0], [3, 0]]"
lEIxePNe,"[1, 3]","[[1, 2], [0, 1]]"
nLzPG6pF,"[0, 2]","[[0, 0], [0, 2]]"
hbyLHnV8,"[3, 0]","[[2, 0], [1, 0]]"
d2pja7xA,"[2, 1]","[[1, 0], [1, 1]]"
